iter	RMSE
0	0.2215576058
1	0.2174132861
2	0.2126163485
3	0.2083253344
4	0.2040340075
5	0.1998587738
6	0.1954346572
7	0.1911799552
8	0.1871173242
9	0.1831618874
10	0.1795524232
11	0.1759990126
12	0.1725525527
13	0.1693267
14	0.1659716181
15	0.1627424425
16	0.1595325697
17	0.1566290615
18	0.1537577871
19	0.151281021
20	0.1488379832
21	0.1463222299
22	0.1438871626
23	0.141288835
24	0.1391594344
25	0.1369739171
26	0.1347432301
27	0.1325751959
28	0.1307628461
29	0.1288677405
30	0.1269407782
31	0.1249590671
32	0.1229695549
33	0.1211210298
34	0.1193622061
35	0.1176959399
36	0.1160758453
37	0.1146320433
38	0.1131331119
39	0.1115963207
40	0.1102744255
41	0.1090843228
42	0.1077337645
43	0.1065379422
44	0.1053057088
45	0.1042066654
46	0.1030633017
47	0.1020166133
48	0.1010254326
49	0.09991048431
50	0.09900269303
51	0.09815215789
52	0.09719732842
53	0.0963358153
54	0.09560924105
55	0.0947751184
56	0.09393143262
57	0.09319179174
58	0.09248082957
59	0.09171655891
60	0.091078053
61	0.09025655891
62	0.08949905339
63	0.08887691785
64	0.08828948463
65	0.08767175913
66	0.08706812475
67	0.08660231984
68	0.08607469766
69	0.08563886374
70	0.08506428362
71	0.08457418062
72	0.08413335207
73	0.08367331347
74	0.08319056469
75	0.08275621564
76	0.08230027186
77	0.081948348
78	0.08153266254
79	0.08119960239
80	0.08078162515
81	0.08039625779
82	0.08005655035
83	0.07974876894
84	0.0793947502
85	0.07906821531
86	0.07880908628
87	0.0785874688
88	0.07836458624
89	0.07811960115
90	0.07788883094
91	0.07767607421
92	0.07751785501
93	0.07731477735
94	0.07711605527
95	0.07686349033
96	0.07667776092
97	0.0764090393
98	0.07628615864
99	0.07604193631
100	0.07582141514
101	0.07557524947
102	0.07530929903
103	0.07513821066
104	0.07498935619
105	0.07482426129
106	0.07466794581
107	0.07456333146
108	0.07433603162
109	0.07423008629
110	0.07411591269
111	0.07391457231
112	0.07371953448
113	0.07352921147
114	0.07343364593
115	0.0733206304
116	0.07319624627
117	0.07299364487
118	0.07282791539
119	0.07271275587
120	0.07263717056
121	0.07254355799
122	0.07237662209
123	0.07229793622
124	0.07211249216
125	0.07198829921
126	0.07188721438
127	0.0717775704
128	0.0716719645
129	0.07156794463
130	0.07142038642
131	0.07129048875
132	0.07125016113
133	0.07112527265
134	0.07101088757
135	0.07088780918
136	0.07077059476
137	0.07063737513
138	0.07051814237
139	0.07038862382
140	0.07020896434
141	0.07013901388
142	0.07001860237
143	0.0698834332
144	0.06982697341
145	0.06973968243
146	0.06964417642
147	0.06956458282
148	0.0694221263
149	0.06929399881
150	0.06917469955
151	0.06903745694
152	0.06895576163
153	0.06887303575
154	0.06878675917
155	0.0687248653
156	0.06858241171
157	0.06853846697
158	0.06845749821
159	0.06840121961
160	0.06830083443
161	0.06822276559
162	0.06815336736
163	0.06797138988
164	0.06788861696
165	0.06778057874
166	0.06768421366
167	0.06760922269
168	0.06755020169
169	0.06745398315
170	0.06740078034
171	0.06727596099
172	0.06718896874
173	0.06711564604
174	0.06709829299
175	0.06698996352
176	0.0669038036
177	0.06684168581
178	0.06671222263
179	0.06661123526
180	0.06654548856
181	0.06648714498
182	0.06639540111
183	0.06631497286
184	0.06615523067
185	0.06602457836
186	0.06595528897
187	0.06590528202
188	0.06583718422
189	0.06576689242
190	0.06565177628
191	0.0655461281
192	0.06544178088
193	0.06534158638
194	0.06532602251
195	0.06524318882
196	0.06509923062
197	0.0650098656
198	0.064945491
199	0.06486581838
200	0.06478540786
201	0.06462901387
202	0.06451623505
203	0.06442444024
204	0.06435608531
205	0.06425861188
206	0.0641723841
207	0.06405972796
208	0.06394718639
209	0.06390532982
210	0.06387772987
211	0.06379108344
212	0.06368959585
213	0.06359530623
214	0.0635506799
215	0.06348127442
216	0.06338841807
217	0.06329555036
218	0.06318511748
219	0.06313167709
220	0.06308184818
221	0.06297607885
222	0.06286335154
223	0.06274371735
224	0.06260513644
225	0.06251043449
226	0.06244892128
227	0.06234205521
228	0.0622514979
229	0.06220251139
230	0.06203274542
231	0.06196685473
232	0.06186905118
233	0.06175919669
234	0.06171924772
235	0.06163369754
236	0.06156440418
237	0.06152534317
238	0.06147459305
239	0.0614197445
240	0.0613378867
241	0.06121994986
242	0.06111275812
243	0.06104498851
244	0.06102198921
245	0.06097695884
246	0.06094086126
247	0.0608629985
248	0.06076865516
249	0.06069740213
250	0.06060787846
251	0.06054566711
252	0.06051360718
253	0.06041256302
254	0.060321734
255	0.06027890992
256	0.06018170931
257	0.06012102272
258	0.06010496991
259	0.06004666686
260	0.05996738497
261	0.05992061881
262	0.05983101678
263	0.05972156444
264	0.05966078367
265	0.05949824084
266	0.05939125467
267	0.0593101062
268	0.05927758271
269	0.05917119642
270	0.05906093036
271	0.05898478349
272	0.05896223917
273	0.05893748178
274	0.05890348663
275	0.0588435298
276	0.05878844731
277	0.05870431517
278	0.05864530322
279	0.05860848811
280	0.05856083201
281	0.05847858431
282	0.05836077511
283	0.05829686488
284	0.05823122256
285	0.05818589696
286	0.05817475862
287	0.0581496555
288	0.05810385584
289	0.05798094041
290	0.05790799712
291	0.05783351683
292	0.0577894845
293	0.05777759957
294	0.05776264464
295	0.05767501514
296	0.05762003059
297	0.05751675771
298	0.05743389903
299	0.05733222111
300	0.05723783729
301	0.05719515522
302	0.05706728663
303	0.05697907112
304	0.05691164288
305	0.05685925277
306	0.05673749699
307	0.05666410241
308	0.05665561194
309	0.05649971262
310	0.05639360181
311	0.05634156629
312	0.0562875176
313	0.0561950507
314	0.05612508919
315	0.05597183066
316	0.05593657663
317	0.05588623571
318	0.05579061378
319	0.05568072474
320	0.05561907102
321	0.0555279456
322	0.05547387909
323	0.05539170741
324	0.05531815573
325	0.05528706329
326	0.05522149743
327	0.05518008681
328	0.05505336126
329	0.05501643221
330	0.05499707003
331	0.05493469427
332	0.0548648312
333	0.05482698666
334	0.05474332723
335	0.05468926569
336	0.05459849163
337	0.05446314081
338	0.05440309359
339	0.05432279928
340	0.05425646034
341	0.05415550373
342	0.05407456574
343	0.05403820114
344	0.05402519734
345	0.05399374641
346	0.0539666228
347	0.05394415679
348	0.05388815105
349	0.05387911189
350	0.05377279073
351	0.05373939524
352	0.05367826548
353	0.05354761627
354	0.05344385051
355	0.05335044114
356	0.05322389559
357	0.05317220318
358	0.05316412478
359	0.05306765701
360	0.05297732635
361	0.05293152916
362	0.05280950211
363	0.05274849251
364	0.05265883781
365	0.05261932089
366	0.05251376084
367	0.05247556654
368	0.05238740325
369	0.05234207291
370	0.05228570006
371	0.05221691038
372	0.05216904445
373	0.05207327977
374	0.0519654946
375	0.05192560133
376	0.05189232471
377	0.05181473348
378	0.05177436298
379	0.05172686135
380	0.05166433808
381	0.05158513412
382	0.05153940897
383	0.05149512939
384	0.05141100569
385	0.05134349987
386	0.0512686268
387	0.05120407472
388	0.05108869848
389	0.05095563628
390	0.05089179593
391	0.05079474366
392	0.05069220327
393	0.05062622931
394	0.05053035255
395	0.05041289545
396	0.05034190511
397	0.05025853765
398	0.05019794006
399	0.05010186766
400	0.0500487451
401	0.04997154958
402	0.04983279012
403	0.0498258953
404	0.04977684274
405	0.0497026203
406	0.04961769935
407	0.04956036425
408	0.04946203478
409	0.0494135937
410	0.04938120992
411	0.0493614849
412	0.04931082546
413	0.04918524338
414	0.04915312032
415	0.04905338999
416	0.04899086959
417	0.04891322774
418	0.04885769637
419	0.04874757387
420	0.04863415944
421	0.04859217675
422	0.04853333708
423	0.04848901125
424	0.04844975668
425	0.04837997172
426	0.04827959125
427	0.04827625924
428	0.04820593053
429	0.04820051127
430	0.04811002061
431	0.0480553508
432	0.04792308996
433	0.04785175409
434	0.04778565164
435	0.04770635323
436	0.04766091219
437	0.04761280855
438	0.04756411547
439	0.04752649688
440	0.04748112877
441	0.04747027298
442	0.04745021879
443	0.04740155485
444	0.04732940626
445	0.04725904034
446	0.04722055066
447	0.0471208937
448	0.04707016361
449	0.04698580015
450	0.04698158111
451	0.04687338708
452	0.04678304811
453	0.04675468516
454	0.04671419395
455	0.04666406516
456	0.04664160156
457	0.04655367199
458	0.04651257956
459	0.04647538558
460	0.04642526243
461	0.04632724162
462	0.04626211158
463	0.04625476068
464	0.04620703113
465	0.04617529097
466	0.0461672696
467	0.04615980163
468	0.04611341667
469	0.04602439031
470	0.04598481384
471	0.04586602472
472	0.04575665156
473	0.04574848465
474	0.0457098813
475	0.04567233363
476	0.04559404828
477	0.04555194776
478	0.04546970629
479	0.04542498832
480	0.04541375815
481	0.04535971198
482	0.0452772048
483	0.04518825101
484	0.04513646411
485	0.04506965159
486	0.04504824523
487	0.04498350327
488	0.04495503368
489	0.04487655323
490	0.04484811141
491	0.04481008343
492	0.04473296752
493	0.04462861819
494	0.04456122487
495	0.04448014687
496	0.04436930868
497	0.04436198231
498	0.04433298209
499	0.04425851697
500	0.0441903706
501	0.04415359499
502	0.04410047696
503	0.04404131395
504	0.04400100777
505	0.04394969235
506	0.04386873192
507	0.04381874657
508	0.04376156935
509	0.04370500036
510	0.04365749825
511	0.04365117392
512	0.04364490761
513	0.04363486367
514	0.04358666939
515	0.0435586919
516	0.04350199306
517	0.04338875337
518	0.04334988315
519	0.04326879777
520	0.04318543726
521	0.04312833226
522	0.04303427342
523	0.04299313736
524	0.04293149575
525	0.04286569751
526	0.04278939019
527	0.0427339012
528	0.0426839261
529	0.04263667944
530	0.04253137054
531	0.04250869638
532	0.042446573
533	0.04242322499
534	0.04238415449
535	0.04231917296
536	0.04229583887
537	0.04223101471
538	0.04215397517
539	0.04209503692
540	0.04202168558
541	0.04197166354
542	0.04191332737
543	0.04186137759
544	0.04180268823
545	0.04176491536
546	0.04172170048
547	0.04165693391
548	0.04162412266
549	0.04159218609
550	0.04152121137
551	0.04149042353
552	0.04146106672
553	0.04135481299
554	0.04129335235
555	0.04125168034
556	0.04121329906
557	0.04115339499
558	0.04110464941
559	0.04105795928
560	0.04100073752
561	0.04092773014
562	0.04092415194
563	0.04091551341
564	0.04088405071
565	0.0408462152
566	0.04079000079
567	0.04073377819
568	0.04072858474
569	0.04072321992
570	0.04069442741
571	0.04067480126
572	0.04065587634
573	0.04059724867
574	0.04052651118
575	0.04048141933
576	0.04042732465
577	0.04038849051
578	0.04028017431
579	0.04025328431
580	0.0402144037
581	0.04012478015
582	0.04004165266
583	0.04003043422
584	0.03998846421
585	0.039952504
586	0.03991606549
587	0.03987061904
588	0.0398189103
589	0.03979528981
590	0.03974668508
591	0.03969556964
592	0.03964281307
593	0.03959564068
594	0.03954445157
595	0.03950057251
596	0.03949576645
597	0.03947188829
