iter	Passed	Remaining
402	9838	14575
403	9861	14547
404	9884	14521
405	9907	14494
406	9933	14472
407	9981	14483
408	10026	14488
409	10063	14481
410	10096	14469
411	10125	14450
412	10149	14425
413	10179	14408
414	10201	14380
415	10223	14351
416	10245	14324
417	10266	14294
418	10287	14265
419	10309	14237
420	10331	14208
421	10353	14181
422	10375	14153
423	10398	14126
424	10417	14093
425	10440	14067
426	10461	14038
427	10482	14009
428	10506	13983
429	10527	13954
430	10547	13924
431	10570	13898
432	10593	13871
433	10615	13843
434	10637	13817
435	10660	13790
436	10682	13763
437	10705	13736
438	10729	13711
439	10752	13685
440	10774	13657
441	10796	13629
442	10817	13600
443	10838	13572
444	10859	13544
445	10879	13514
446	10904	13490
447	10926	13463
448	10949	13437
449	10970	13407
450	10994	13382
451	11015	13355
452	11034	13324
453	11062	13303
454	11095	13290
455	11133	13281
456	11171	13273
457	11191	13244
458	11221	13226
459	11252	13208
460	11275	13182
461	11297	13156
462	11318	13127
463	11341	13101
464	11364	13075
465	11388	13050
466	11410	13023
467	11431	12995
468	11454	12968
469	11478	12944
470	11499	12916
471	11521	12888
472	11543	12861
473	11566	12835
474	11586	12806
475	11609	12780
476	11631	12753
477	11654	12726
478	11676	12700
479	11702	12677
480	11725	12651
481	11748	12626
482	11770	12598
483	11791	12570
484	11813	12544
485	11834	12515
486	11856	12489
487	11880	12464
488	11905	12441
489	11926	12413
490	11947	12385
491	11971	12361
492	11992	12333
493	12015	12307
494	12041	12284
495	12063	12257
496	12085	12230
497	12105	12203
498	12128	12177
499	12148	12148
500	12188	12139
501	12229	12131
502	12267	12121
503	12293	12097
504	12322	12078
505	12340	12047
506	12356	12015
507	12383	11993
508	12404	11966
509	12425	11938
510	12448	11912
511	12469	11885
512	12494	11861
513	12535	11852
514	12587	11854
515	12627	11843
516	12649	11817
517	12674	11793
518	12691	11762
519	12711	11733
520	12762	11733
521	12794	11716
522	12828	11700
523	12858	11680
524	12882	11655
525	12902	11626
526	12928	11604
527	12946	11573
528	12978	11555
529	13007	11535
530	13030	11509
531	13051	11481
532	13072	11453
533	13095	11427
534	13118	11402
535	13140	11375
536	13161	11348
